TIME,Last Time and Sales,CA Bid,CA LTP,CA LTQ,CA Ask,CA Bid Qty,CA Ask Qty,HG Bid,HG LTP,HG LTQ,HG Ask,HG Bid Qty,HG Ask Qty,TF,CHINA,USD JPY,CNY JPY,,,,,,,,,,,
18:07:50,6:07:44 PM,13330.00,13331,1.0000,13332.0000,15.0000,6.00,6043.0000,6044.0000,1.00,6044.00,65.00,65.0,,,,,,,Last Time and Sales,CA Bid,CA LTP,CA LTQ,CA Ask,CA Bid Qty,CA Ask Qty,HG Bid,
18:07:44,6:07:44 PM,13330.00,13331,1.0000,13332.0000,15.0000,6.00,6043.0000,6044.0000,1.00,6044.00,65.00,65.0,,,,,,,13328.00,43074.76,1.00,13338.00,4.00,13340.00,6042.00,18.00,
18:07:43,6:07:43 PM,13330.00,13331,1.0000,13332.0000,15.0000,6.00,6043.0000,6044.0000,1.00,6044.00,66.00,65.0,,,,,,,,,,,,,,,
18:07:42,6:07:40 PM,13330.00,13331,1.0000,13332.0000,15.0000,7.00,6043.0000,6043.0000,10.00,6044.00,62.00,69.0,,,,,,,13329.00,43074.76,1.00,13338.00,5.00,13340.00,6042.00,18.00,
18:07:40,6:07:40 PM,13330.00,13331,1.0000,13332.0000,15.0000,7.00,6043.0000,6043.0000,10.00,6044.00,62.00,69.0,,,,,,,,,,,,,,,
18:07:39,6:07:38 PM,13331.00,13331,1.0000,13332.0000,13.0000,4.00,6043.0000,6043.0000,35.00,6044.00,72.00,59.0,,,,,,,HG LTP,HG LTQ,HG Ask,HG Bid Qty,,,,,
18:07:38,6:07:38 PM,13331.00,13331,1.0000,13332.0000,13.0000,4.00,6043.0000,6043.0000,35.00,6044.00,72.00,59.0,,,,,,,6042.00,72.00,6043.00,131.00,,,,,
18:07:37,6:07:36 PM,13331.00,13331,1.0000,13332.0000,13.0000,4.00,6043.0000,6043.0000,35.00,6044.00,72.00,59.0,,,,,,,,,,,,,,,
18:07:36,6:07:35 PM,13331.00,13331,1.0000,13332.0000,13.0000,4.00,6043.0000,6043.0000,35.00,6044.00,72.00,59.0,,,,,,,,,,,,,,,
18:07:35,6:07:35 PM,13331.00,13331,1.0000,13332.0000,13.0000,4.00,6043.0000,6043.0000,35.00,6044.00,72.00,59.0,,,,,,,,,,,,,,,
