TIME,Last Time and Sales,CA Bid,CA LTP,CA LTQ,CA Ask,CA Bid Qty,CA Ask Qty,HG Bid,HG LTP,HG LTQ,HG Ask,HG Bid Qty,HG Ask Qty,TF,CHINA,USD JPY,CNY JPY,,,,,,,,,,,
9:01:33,6:29:59 PM,13570.00,13573,1.0000,13573.0000,8.0000,5.00,6165.0000,6166.0000,43.00,6166.00,113.00,46.0,,,,,,,Last Time and Sales,CA Bid,CA LTP,CA LTQ,CA Ask,CA Bid Qty,CA Ask Qty,HG Bid,
18:30:00,6:29:59 PM,13570.00,13573,1.0000,13573.0000,8.0000,5.00,6165.0000,6166.0000,43.00,6166.00,113.00,46.0,,,,,,,13566.00,43070.77,1.00,13573.00,3.00,13573.00,6163.00,9.00,
18:29:58,6:29:58 PM,13570.00,13573,1.0000,13573.0000,10.0000,5.00,6165.0000,6166.0000,43.00,6166.00,115.00,42.0,,,,,,,,,,,,,,,
18:29:57,6:29:57 PM,13572.00,13573,1.0000,13573.0000,11.0000,3.00,6165.0000,6166.0000,40.00,6166.00,119.00,49.0,,,,,,,13566.00,43070.77,1.00,13573.00,5.00,13573.00,6163.00,9.00,
18:29:56,6:29:56 PM,13572.00,13573,1.0000,13573.0000,11.0000,3.00,6166.0000,6166.0000,37.00,6167.00,98.00,62.0,,,,,,,,,,,,,,,
18:29:56,6:29:54 PM,13572.00,13573,1.0000,13573.0000,11.0000,3.00,6166.0000,6166.0000,37.00,6167.00,98.00,62.0,,,,,,,HG LTP,HG LTQ,HG Ask,HG Bid Qty,,,,,
18:29:54,6:29:54 PM,13572.00,13573,1.0000,13573.0000,11.0000,3.00,6166.0000,6166.0000,37.00,6167.00,98.00,62.0,,,,,,,6164.00,43.00,6164.00,119.00,,,,,
18:29:54,6:29:53 PM,13570.00,13573,1.0000,13573.0000,8.0000,4.00,6165.0000,6166.0000,34.00,6166.00,115.00,46.0,,,,,,,,,,,,,,,
18:29:52,6:29:52 PM,13570.00,13568,1.0000,13573.0000,8.0000,4.00,6165.0000,6165.0000,16.00,6166.00,101.00,73.0,,,,,,,,,,,,,,,
18:29:51,6:29:51 PM,13570.00,13568,1.0000,13573.0000,8.0000,4.00,6165.0000,6165.0000,16.00,6166.00,101.00,74.0,,,,,,,,,,,,,,,
18:29:50,6:29:50 PM,13570.00,13568,1.0000,13573.0000,6.0000,4.00,6165.0000,6165.0000,14.00,6166.00,104.00,74.0,,,,,,,,,,,,,,,
18:29:49,6:29:49 PM,13570.00,13568,1.0000,13573.0000,6.0000,4.00,6165.0000,6165.0000,14.00,6166.00,95.00,74.0,,,,,,,,,,,,,,,
18:29:49,6:29:48 PM,13570.00,13568,1.0000,13573.0000,6.0000,4.00,6165.0000,6165.0000,14.00,6166.00,83.00,79.0,,,,,,,,,,,,,,,
18:29:47,6:29:47 PM,13570.00,13568,1.0000,13573.0000,6.0000,4.00,6165.0000,6165.0000,14.00,6166.00,83.00,79.0,,,,,,,,,,,,,,,
18:29:46,6:29:46 PM,13570.00,13568,1.0000,13573.0000,6.0000,4.00,6165.0000,6165.0000,12.00,6166.00,85.00,77.0,,,,,,,,,,,,,,,
18:29:46,6:29:46 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,78.00,80.0,,,,,,,,,,,,,,,
18:29:44,6:29:44 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,69.00,81.0,,,,,,,,,,,,,,,
18:29:43,6:29:43 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,69.00,81.0,,,,,,,,,,,,,,,
18:29:42,6:29:42 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,81.0,,,,,,,,,,,,,,,
18:29:42,6:29:42 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,81.0,,,,,,,,,,,,,,,
18:29:40,6:29:40 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,81.0,,,,,,,,,,,,,,,
18:29:39,6:29:39 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,82.0,,,,,,,,,,,,,,,
18:29:38,6:29:38 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,82.0,,,,,,,,,,,,,,,
18:29:37,6:29:37 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,82.0,,,,,,,,,,,,,,,
18:29:37,6:29:36 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,82.0,,,,,,,,,,,,,,,
18:29:35,6:29:35 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,81.0,,,,,,,,,,,,,,,
18:29:35,6:29:35 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,81.0,,,,,,,,,,,,,,,
18:29:33,6:29:33 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,80.0,,,,,,,,,,,,,,,
18:29:32,6:29:32 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,80.0,,,,,,,,,,,,,,,
18:29:32,6:29:32 PM,13568.00,13568,1.0000,13571.0000,5.0000,3.00,6164.0000,6164.0000,2.00,6165.00,72.00,80.0,,,,,,,,,,,,,,,
